LINE, REF, QTY, EPCCS TYP, EPCCS PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUadpt Headers,,,TOTAL,
,,,,,,11/15/17 (14226^6),,,=SUM(J7:J100)
,,,,,,,,,,
1,D2,1,D-LED,5MMRD,CREE@C503B-RCN-CW0Z0AA1,LED RED 5MM 2.1V@20MA,(1),0.129,=C5*I5,ONESHOT
2,J1 J3 J4,=3*10/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 3 SETS OF 10,(1 4),2.091,=C6*I6,SHLD
3,J2,=1*8/36,J-HDR2.54mm,PBC36SAAN,SULLINS2PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 8,(1 4),2.091,=C7*I7,SHLD
4,J5 J6,2,J-RJ45,RJ45J,WSW@A-2014-2-4-R,JACK MODULAR VERT PCB 8P8C UNSHIELD,(1),0.6164,=C8*I8,ADPT
5,J7,0,J-HDR2mm,S04B,JST@S04B-PASK,CONN HEADER SIDE THRU 4POS,(1),0.465,=C9*I9,IRRIGATE7
6,J8,=0*7/36,J-HDR2.54mm,PBC36SAAN,SULLINS2PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 7,(1 4),2.091,=C10*I10,SHLD
7,J9 J10,=2*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,CONN HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET OF 3X2,(1 4),3.774,=C11*I11,IRRIGATE7
8,J11,1,J-HDR2.54mm,PPPC032LFBN,SULLINS@PPPC032LFBN-RC,CONN HEADER FEMALE .1IN 3X2POS,(1),.64,=C12*I12,RPUPI
9,J12,=0*8/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 8,(1 4),2.091,=C13*I13,SHLD
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,


